id,role
323,Short Story
324,Simulation & Effects Artist
325,Simulation & Effects Production Assistant
326,Software Engineer
327,Software Team Lead
328,Songs
329,Sound
330,Sound Design Assistant
331,Sound Designer
332,Sound Director
333,Sound Editor
334,Sound Effects
335,Sound Effects Designer
336,Sound Effects Editor
337,Sound Engineer
338,Sound Mixer
339,Sound Montage Associate
340,Sound Re-Recording Mixer
341,Sound Recordist
342,Special Effects
343,Special Effects Coordinator
344,Special Effects Supervisor
345,Special Guest Director
346,Special Sound Effects
347,Stand In
348,Standby Painter
349,Steadicam Operator
350,Steadycam
351,Still Photographer
352,Story
353,Story Editor
354,Storyboard
355,Storyboard Designer
356,Studio Teachers
357,Stunt Coordinator
358,Stunt Double
359,Stunts
360,Stunts Coordinator
361,Supervising ADR Editor
362,Supervising Animator
363,Supervising Art Director
364,Supervising Dialogue Editor
365,Supervising Film Editor
366,Supervising Music Editor
367,Supervising Producer
368,Supervising Sound Editor
369,Supervising Sound Effects Editor
370,Supervising Technical Director
371,Systems Administrators & Support
372,Tailor
373,Tattoo Designer
374,Tattooist
375,Technical Supervisor
376,Techno Crane Operator
377,Telecine Colorist
378,Teleplay
379,Temp Music Editor
380,Temp Sound Editor
381,Thanks
382,Theatre Play
383,Third Assistant Director
384,Title Designer
385,Title Graphics
386,Translator
387,Transportation Captain
388,Transportation Co-Captain
389,Transportation Coordinator
390,Underwater Camera
391,Underwater Director of Photography
392,Underwater Gaffer
393,Unit Manager
394,Unit Production Manager
395,Unit Publicist
396,Utility Sound
397,Utility Stunts
398,VFX Artist
399,VFX Editor
400,VFX Production Coordinator
401,VFX Supervisor
402,Video Assist Operator
403,Video Game
404,Visual Development
405,Visual Effects
406,Visual Effects Art Director
407,Visual Effects Coordinator
408,Visual Effects Design Consultant
409,Visual Effects Designer
410,Visual Effects Editor
411,Visual Effects Producer
412,Visual Effects Supervisor
413,Visual Effects Technical Director
414,Vocal Coach
415,Wardrobe Supervisor
416,Wig Designer
417,Wigmaker
418,Writer
